id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,128,Group 5,777,11,112,Gabrielle Garnier,1:56.550,116.55,,,,1663
,128,Group 5,777,12,116,Lucy Hoffman,2:00.640,120.64,,,,424
,128,Group 5,333,1,164,Clark Hartemink,0:39.520,39.52,,,,182
,128,Group 5,333,2,151,Derick Chang,0:40.670,40.67,,,,460
,128,Group 5,333,3,100,Saruar Aitbayeva,0:40.920,40.92,,,,739
,128,Group 5,333,4,212,Sean Sun,0:41.260,41.26,,,,115
,128,Group 5,333,5,225,James Yin,0:41.460,41.46,,,,276
,128,Group 5,333,6,185,Avery Lorenz,0:42.450,42.45,,,,375
,128,Group 5,333,7,193,Henry Peck,0:43.070,43.07,,,,370
,128,Group 5,333,8,118,Emily Hogan,0:43.300,43.3,,,,964
,128,Group 5,333,9,103,Elizabeth Bourquin,0:43.610,43.61,,,,176
,128,Group 5,333,10,169,Maren Hoffman,0:44.940,44.94,,,,374
,128,Group 5,333,11,112,Gabrielle Garnier,0:47.110,47.11,,,,1663
,128,Group 5,333,12,116,Lucy Hoffman,0:48.540,48.54,,,,424
,128,Group 5,500,1,164,Clark Hartemink,0:59.710,59.71,,,,182
,128,Group 5,500,2,100,Saruar Aitbayeva,1:01.640,61.64,,,,739
,128,Group 5,500,3,212,Sean Sun,1:01.760,61.76,,,,115
,128,Group 5,500,4,185,Avery Lorenz,1:01.900,61.9,,,,375
,128,Group 5,500,5,151,Derick Chang,1:02.100,62.1,,,,460
,128,Group 5,500,6,225,James Yin,1:03.630,63.63,,,,276
,128,Group 5,500,7,118,Emily Hogan,1:06.950,66.95,,,,964
,128,Group 5,500,8,169,Maren Hoffman,1:07.240,67.24,,,,374
,128,Group 5,500,9,116,Lucy Hoffman,1:14.060,74.06,,,,424
,128,Group 5,500,10,112,Gabrielle Garnier,1:14.510,74.51,,,,1663
,128,Group 5,500,11,103,Elizabeth Bourquin,1:15.810,75.81,,,,176
,128,Group 5,500,12,193,Henry Peck,1:21.810,81.81,,,,370
,128,Group 6,333,1,217,Elias Wang,0:41.110,41.11,,,,186
,128,Group 6,333,2,125,Yoonji Kuh,0:41.130,41.13,,,,625
,128,Group 6,333,3,176,Samuel Lee,0:42.380,42.38,,,,293
,128,Group 6,333,4,191,Kipling Mullaney,0:44.630,44.63,,,,598
,128,Group 6,333,5,181,Jayden Lin,0:45.960,45.96,,,,180
,128,Group 6,333,6,195,Maxwell Pompei,0:45.960,45.96,,,,229
,128,Group 6,333,7,208,Peter Sowa,0:46.280,46.28,,,,270
,128,Group 6,333,8,154,Sebastian Delnore,0:47.280,47.28,,,,324
,128,Group 6,333,9,229,Eric Zhao,0:48.700,48.7,,,,467
,128,Group 6,333,10,119,Lois Houck,0:50.130,50.13,,,,253
,128,Group 6,333,11,221,Benjamin Wobeser,0:50.460,50.46,,,,137
,128,Group 6,222,1,217,Elias Wang,0:27.440,27.44,,,,186
,128,Group 6,222,2,125,Yoonji Kuh,0:28.010,28.01,,,,625
,128,Group 6,222,3,176,Samuel Lee,0:29.670,29.67,,,,293
,128,Group 6,222,4,195,Maxwell Pompei,0:30.820,30.82,,,,229
,128,Group 6,222,5,208,Peter Sowa,0:30.850,30.85,,,,270
,128,Group 6,222,6,191,Kipling Mullaney,0:30.940,30.94,,,,598
,128,Group 6,222,7,229,Eric Zhao,0:31.140,31.14,,,,467
,128,Group 6,222,8,181,Jayden Lin,0:31.190,31.19,,,,180
,128,Group 6,222,9,154,Sebastian Delnore,0:31.640,31.64,,,,324
,128,Group 6,222,10,119,Lois Houck,0:32.960,32.96,,,,253
,128,Group 6,222,11,221,Benjamin Wobeser,0:33.540,33.54,,,,137
,128,Group 6,500,1,217,Elias Wang,1:00.120,60.12,,,,186
,128,Group 6,500,2,125,Yoonji Kuh,1:02.300,62.3,,,,625
,128,Group 6,500,3,208,Peter Sowa,1:05.940,65.94,,,,270
,128,Group 6,500,4,191,Kipling Mullaney,1:06.550,66.55,,,,598
,128,Group 6,500,5,229,Eric Zhao,1:08.660,68.66,,,,467
,128,Group 6,500,6,181,Jayden Lin,1:09.790,69.79,,,,180
,128,Group 6,500,7,154,Sebastian Delnore,1:10.190,70.19,,,,324
,128,Group 6,500,8,195,Maxwell Pompei,1:10.480,70.48,,,,229
,128,Group 6,500,9,221,Benjamin Wobeser,1:14.010,74.01,,,,137
,128,Group 6,500,10,119,Lois Houck,1:14.250,74.25,,,,253
,128,Group 6,500,11,176,Samuel Lee,1:21.830,81.83,,,,293
,128,Group 7,333,1,148,William Bi,0:41.600,41.6,,,,417
,128,Group 7,333,2,190,Max Mountainbear,0:41.890,41.89,,,,41
,128,Group 7,333,3,184,Ethan Liu,0:42.100,42.1,,,,13
,128,Group 7,333,4,203,Samuel Sheen,0:42.530,42.53,,,,233
,128,Group 7,333,5,228,Liam Zhang,0:43.920,43.92,,,,1557
,128,Group 7,333,6,155,Hunter Dong,0:45.000,45.0,,,,531
,128,Group 7,333,7,172,Jack Koons,0:48.040,48.04,,,,94
,128,Group 7,333,8,219,Samuel Winter,0:48.290,48.29,,,,1219
,128,Group 7,333,9,134,Tobi Ranta,0:48.690,48.69,,,,328
,128,Group 7,333,10,202,Henry Seagraves,0:50.480,50.48,,,,1395
,128,Group 7,333,11,129,Johanna Gleicher,0:57.790,57.79,,,,317
,128,Group 7,333,12,187,Finn McCloud,1:06.960,66.96,,,,334
,128,Group 7,222,1,148,William Bi,0:28.070,28.07,,,,417
,128,Group 7,222,2,184,Ethan Liu,0:28.530,28.53,,,,13
,128,Group 7,222,3,203,Samuel Sheen,0:28.780,28.78,,,,233
,128,Group 7,222,4,190,Max Mountainbear,0:29.190,29.19,,,,41
,128,Group 7,222,5,155,Hunter Dong,0:29.780,29.78,,,,531
,128,Group 7,222,6,228,Liam Zhang,0:30.640,30.64,,,,1557
,128,Group 7,222,7,219,Samuel Winter,0:32.940,32.94,,,,1219
,128,Group 7,222,8,172,Jack Koons,0:33.220,33.22,,,,94
,128,Group 7,222,9,134,Tobi Ranta,0:33.760,33.76,,,,328
,128,Group 7,222,10,202,Henry Seagraves,0:34.510,34.51,,,,1395
,128,Group 7,222,11,129,Johanna Gleicher,0:37.050,37.05,,,,317
,128,Group 7,222,12,187,Finn McCloud,0:45.190,45.19,,,,334
,128,Group 7,500,1,148,William Bi,1:02.690,62.69,,,,417
,128,Group 7,500,2,184,Ethan Liu,1:02.940,62.94,,,,13
,128,Group 7,500,3,190,Max Mountainbear,1:03.090,63.09,,,,41
,128,Group 7,500,4,203,Samuel Sheen,1:03.770,63.77,,,,233
,128,Group 7,500,5,228,Liam Zhang,1:09.630,69.63,,,,1557
,128,Group 7,500,6,219,Samuel Winter,1:12.350,72.35,,,,1219
,128,Group 7,500,7,172,Jack Koons,1:13.700,73.7,,,,94
,128,Group 7,500,8,155,Hunter Dong,1:16.160,76.16,,,,531
,128,Group 7,500,9,134,Tobi Ranta,1:16.560,76.56,,,,328
,128,Group 7,500,10,202,Henry Seagraves,1:21.790,81.79,,,,1395
,128,Group 7,500,11,129,Johanna Gleicher,1:41.420,101.42,,,,317
,128,Group 7,500,12,187,Finn McCloud,1:42.010,102.01,,,,334
,128,Novice A,222,1,132,Harshini Ramachandran,0:28.400,28.4,,,,980
,128,Novice A,222,2,126,Clara Lee,0:28.450,28.45,,,,86
,128,Novice A,222,3,142,James Abramovich,0:29.400,29.4,,,,592
,128,Novice A,222,4,143,Ian Andrews,0:29.910,29.91,,,,254
,128,Novice A,222,5,133,Dharshini Ramachandran,0:30.190,30.19,,,,602
,128,Novice A,222,6,230,Isaac Zheng,0:30.230,30.23,,,,249
,128,Novice A,222,7,189,Zoly Milstein,0:30.870,30.87,,,,1439
,128,Novice A,222,8,107,Sarah Chen,0:32.910,32.91,,,,197
,128,Novice A,222,9,149,Jaxon Brogan,0:33.150,33.15,,,,335
,128,Novice A,222,10,139,Charlotte Streefkerk,0:43.730,43.73,,,,1050
,128,Novice A,111,1,132,Harshini Ramachandran,0:14.860,14.86,,,,980
,128,Novice A,111,2,143,Ian Andrews,0:15.250,15.25,,,,254
,128,Novice A,111,3,142,James Abramovich,0:15.900,15.9,,,,592
,128,Novice A,111,4,126,Clara Lee,0:16.040,16.04,,,,86
,128,Novice A,111,5,133,Dharshini Ramachandran,0:16.110,16.11,,,,602
,128,Novice A,111,6,189,Zoly Milstein,0:16.400,16.4,,,,1439
,128,Novice A,111,7,230,Isaac Zheng,0:16.640,16.64,,,,249
,128,Novice A,111,8,149,Jaxon Brogan,0:17.760,17.76,,,,335
,128,Novice A,111,9,107,Sarah Chen,0:18.260,18.26,,,,197
,128,Novice A,111,10,139,Charlotte Streefkerk,0:21.350,21.35,,,,1050
,128,Novice A,333,1,132,Harshini Ramachandran,0:40.370,40.37,,,,980
,128,Novice A,333,2,143,Ian Andrews,0:42.440,42.44,,,,254
,128,Novice A,333,3,126,Clara Lee,0:42.790,42.79,,,,86
,128,Novice A,333,4,133,Dharshini Ramachandran,0:43.650,43.65,,,,602
,128,Novice A,333,5,230,Isaac Zheng,0:44.610,44.61,,,,249
,128,Novice A,333,6,107,Sarah Chen,0:48.640,48.64,,,,197
