raw_value,count,type,canonical,country,notes
Lakewood 1:13.260,1,club,Lakewood Speedskating,US,rescued
Bay State Speedskating 3:29.480,1,club,Bay State Speedskating,US,rescued
UV,1,junk,,,junk token
512.00,1,junk,,,time leaked; prefix='512.00'
Bay State Speedskating 2:18.770,1,club,Bay State Speedskating,US,rescued
Bay State Speedskating 0:36.110,1,club,Bay State Speedskating,US,rescued
Connecticut Speedskating 0:37.800,1,club,Connecticut Speedskating,US,rescued
Cleveland Heights 1:57.260,1,club,Cleveland Heights Speedskating Club,US,rescued
Columbus 2:04.550,1,club,Columbus Speedskating Club,US,rescued
Lakewood 2:07.200,1,club,Lakewood Speedskating,US,rescued
Columbus 3:10.360,1,club,Columbus Speedskating Club,US,rescued
Columbus 2:51.950,1,club,Columbus Speedskating Club,US,rescued
Columbus 1:09.130,1,club,Columbus Speedskating Club,US,rescued
Columbus 1:01.850,1,club,Columbus Speedskating Club,US,rescued
Columbus 1:12.540,1,club,Columbus Speedskating Club,US,rescued
Speedskating,1,junk,,,junk token
Bay State Speedskating 2:09.550,1,club,Bay State Speedskating,US,rescued
Saratoga Winter Club 0:36.250,1,club,Saratoga Winter Club,US,rescued
Bay State Speedskating 2:02.360,1,club,Bay State Speedskating,US,rescued
Bay State Speedskating 2:02.700,1,club,Bay State Speedskating,US,rescued
Bay State Speedskating 2:05.420,1,club,Bay State Speedskating,US,rescued
Great Atlantic Speedskating 1:52.670,1,club,Great Atlantic Speedskating Club,US,rescued
Bay State Speedskating 1:43.830,1,club,Bay State Speedskating,US,rescued
Garden State Speedskating 1:51.610,1,club,Garden State Speedskating,US,rescued
Bay State Speedskating 1:22.050,1,club,Bay State Speedskating,US,rescued
1. Direct 0:43.834,1,direct,Direct,US,rescued
1. Direct 0:45.907,1,direct,Direct,US,rescued
Oval Learn to Speed 0:59.046,1,club,Oval Speed Skating Club,US,rescued
CAN 0:46.095,1,country,CAN,CAN,rescued
1. Direct 0:49.296,1,direct,Direct,US,rescued
Colorado Gold Speedskating 0:51.249,1,club,Colorado Gold Speedskating,US,rescued
TPE 1:32.074,1,country,TPE,TPE,rescued
COL 1:32.242,1,country,COL,COL,rescued
"BC,CAN 1:33.598",1,country,CAN,CAN,rescued
AUS 1:20.879,1,country,AUS,AUS,rescued
CAN 1:20.374,1,country,CAN,CAN,rescued
